ts_ms,shot_id,session_id,bot_id,distance_in,v_batt_load,rpm_at_fire,rpm_target,rpm_manual,reward,hit,raw
1763192914397,virt-867c65f0-1,virt-867c65f0,virtual_shooter,,,2399.999999999999,2400.0,2400.0,1.0,1,"{""type"": ""shot"", ""ts_ms"": 1763192914397, ""shot_id"": ""virt-867c65f0-1"", ""session_id"": ""virt-867c65f0"", ""bot_id"": ""virtual_shooter"", ""battery_v"": 13.542, ""rpm_at_fire"": 2399.999999999999, ""ready_latency_ms"": 347, ""fire_command_ms"": 23306, ""context"": {""manual_target_rpm"": 2400, ""target_rpm"": 2400, ""measured_rpm"": 2399.999999999999, ""spin_requested"": true, ""locked_out"": true, ""battery_v"": 13.542, ""sim_battery_v"": 10.9}, ""hit"": true, ""reward"": 1.0}"
1763192935835,virt-867c65f0-2,virt-867c65f0,virtual_shooter,,,2399.999999999999,2400.0,2400.0,0.0,0,"{""type"": ""shot"", ""ts_ms"": 1763192935835, ""shot_id"": ""virt-867c65f0-2"", ""session_id"": ""virt-867c65f0"", ""bot_id"": ""virtual_shooter"", ""battery_v"": 13.542, ""rpm_at_fire"": 2399.999999999999, ""ready_latency_ms"": 14546, ""fire_command_ms"": 44744, ""context"": {""manual_target_rpm"": 2400, ""target_rpm"": 2400, ""measured_rpm"": 2399.999999999999, ""spin_requested"": true, ""locked_out"": true, ""battery_v"": 13.542, ""sim_battery_v"": 10.9}, ""hit"": false, ""reward"": 0.0}"
1763192943841,virt-867c65f0-3,virt-867c65f0,virtual_shooter,,,2399.999999999999,2400.0,2400.0,1.0,1,"{""type"": ""shot"", ""ts_ms"": 1763192943841, ""shot_id"": ""virt-867c65f0-3"", ""session_id"": ""virt-867c65f0"", ""bot_id"": ""virtual_shooter"", ""battery_v"": 13.542, ""rpm_at_fire"": 2399.999999999999, ""ready_latency_ms"": 35984, ""fire_command_ms"": 52749, ""context"": {""manual_target_rpm"": 2400, ""target_rpm"": 2400, ""measured_rpm"": 2399.999999999999, ""spin_requested"": true, ""locked_out"": true, ""battery_v"": 13.542, ""sim_battery_v"": 10.9}, ""hit"": true, ""reward"": 1.0}"
1763192956885,virt-867c65f0-4,virt-867c65f0,virtual_shooter,,,2399.999999999999,2400.0,2400.0,0.0,0,"{""type"": ""shot"", ""ts_ms"": 1763192956885, ""shot_id"": ""virt-867c65f0-4"", ""session_id"": ""virt-867c65f0"", ""bot_id"": ""virtual_shooter"", ""battery_v"": 13.542, ""rpm_at_fire"": 2399.999999999999, ""ready_latency_ms"": 43988, ""fire_command_ms"": 65794, ""context"": {""manual_target_rpm"": 2400, ""target_rpm"": 2400, ""measured_rpm"": 2399.999999999999, ""spin_requested"": true, ""locked_out"": true, ""battery_v"": 13.542, ""sim_battery_v"": 10.9}, ""hit"": false, ""reward"": 0.0}"
1763192960438,virt-867c65f0-5,virt-867c65f0,virtual_shooter,,,2399.999999999999,2400.0,2400.0,0.0,0,"{""type"": ""shot"", ""ts_ms"": 1763192960438, ""shot_id"": ""virt-867c65f0-5"", ""session_id"": ""virt-867c65f0"", ""bot_id"": ""virtual_shooter"", ""battery_v"": 13.538, ""rpm_at_fire"": 2399.999999999999, ""ready_latency_ms"": 57034, ""fire_command_ms"": 69347, ""context"": {""manual_target_rpm"": 2400, ""target_rpm"": 2400, ""measured_rpm"": 2399.999999999999, ""spin_requested"": true, ""locked_out"": true, ""battery_v"": 13.538, ""sim_battery_v"": 10.9}, ""hit"": false, ""reward"": 0.0}"
1763192963079,virt-867c65f0-6,virt-867c65f0,virtual_shooter,,,2399.999999999999,2400.0,2400.0,1.0,1,"{""type"": ""shot"", ""ts_ms"": 1763192963079, ""shot_id"": ""virt-867c65f0-6"", ""session_id"": ""virt-867c65f0"", ""bot_id"": ""virtual_shooter"", ""battery_v"": 13.538, ""rpm_at_fire"": 2399.999999999999, ""ready_latency_ms"": 60588, ""fire_command_ms"": 71988, ""context"": {""manual_target_rpm"": 2400, ""target_rpm"": 2400, ""measured_rpm"": 2399.999999999999, ""spin_requested"": true, ""locked_out"": true, ""battery_v"": 13.538, ""sim_battery_v"": 10.9}, ""hit"": true, ""reward"": 1.0}"
1763193572958,virt-8685899d-1,virt-8685899d,virtual_shooter,,,2399.999999999999,2400.0,2400.0,1.0,1,"{""type"": ""shot"", ""ts_ms"": 1763193572958, ""shot_id"": ""virt-8685899d-1"", ""session_id"": ""virt-8685899d"", ""bot_id"": ""virtual_shooter"", ""battery_v"": 13.455, ""rpm_at_fire"": 2399.999999999999, ""ready_latency_ms"": 353, ""fire_command_ms"": 82909, ""context"": {""manual_target_rpm"": 2400, ""target_rpm"": 2400, ""measured_rpm"": 2399.999999999999, ""spin_requested"": true, ""locked_out"": true, ""battery_v"": 13.455, ""sim_battery_v"": 10.9}, ""hit"": true, ""reward"": 1.0}"
1763193578121,virt-8685899d-2,virt-8685899d,virtual_shooter,,,2399.999999999999,2400.0,2400.0,1.0,1,"{""type"": ""shot"", ""ts_ms"": 1763193578121, ""shot_id"": ""virt-8685899d-2"", ""session_id"": ""virt-8685899d"", ""bot_id"": ""virtual_shooter"", ""battery_v"": 13.463000000000001, ""rpm_at_fire"": 2399.999999999999, ""ready_latency_ms"": 22901, ""fire_command_ms"": 88070, ""context"": {""manual_target_rpm"": 2400, ""target_rpm"": 2400, ""measured_rpm"": 2399.999999999999, ""spin_requested"": true, ""locked_out"": true, ""battery_v"": 13.463000000000001, ""sim_battery_v"": 10.9}, ""hit"": true, ""reward"": 1.0}"
1763193582078,virt-8685899d-3,virt-8685899d,virtual_shooter,,,2399.999999999999,2400.0,2400.0,1.0,1,"{""type"": ""shot"", ""ts_ms"": 1763193582078, ""shot_id"": ""virt-8685899d-3"", ""session_id"": ""virt-8685899d"", ""bot_id"": ""virtual_shooter"", ""battery_v"": 13.459, ""rpm_at_fire"": 2399.999999999999, ""ready_latency_ms"": 28063, ""fire_command_ms"": 92027, ""context"": {""manual_target_rpm"": 2400, ""target_rpm"": 2400, ""measured_rpm"": 2399.999999999999, ""spin_requested"": true, ""locked_out"": true, ""battery_v"": 13.459, ""sim_battery_v"": 10.9}, ""hit"": true, ""reward"": 1.0}"
1763193585800,virt-8685899d-4,virt-8685899d,virtual_shooter,,,2399.999999999999,2400.0,2400.0,1.0,1,"{""type"": ""shot"", ""ts_ms"": 1763193585800, ""shot_id"": ""virt-8685899d-4"", ""session_id"": ""virt-8685899d"", ""bot_id"": ""virtual_shooter"", ""battery_v"": 13.459, ""rpm_at_fire"": 2399.999999999999, ""ready_latency_ms"": 32021, ""fire_command_ms"": 95752, ""context"": {""manual_target_rpm"": 2400, ""target_rpm"": 2400, ""measured_rpm"": 2399.999999999999, ""spin_requested"": true, ""locked_out"": true, ""battery_v"": 13.459, ""sim_battery_v"": 10.9}, ""hit"": true, ""reward"": 1.0}"
